region_name,county_name,parish_name,candidate_name,candidate_votes_percentage,candidate_votes_count,parish_voters_percentage,parish_voters_count,parish_blank_percentage,parish_blank_count,parish_null_percentage,parish_null_count
Açores,Calheta,Calheta,Ana Gomes,14.89,67,35.01,459,1.53,7,0.44,2
Açores,Calheta,Calheta,André Ventura,7.33,33,35.01,459,1.53,7,0.44,2
Açores,Calheta,Calheta,Vitorino Silva,2.44,11,35.01,459,1.53,7,0.44,2
Açores,Calheta,Calheta,João Ferreira,2.0,9,35.01,459,1.53,7,0.44,2
Açores,Calheta,Calheta,Marisa Matias,1.56,7,35.01,459,1.53,7,0.44,2
Açores,Calheta,Calheta,Tiago Mayan Gonçalves,0.89,4,35.01,459,1.53,7,0.44,2
Açores,Calheta,Norte Pequeno,Marcelo Rebelo de Sousa,81.82,99,58.53,127,3.15,4,1.57,2
Açores,Calheta,Norte Pequeno,André Ventura,9.09,11,58.53,127,3.15,4,1.57,2
Açores,Calheta,Norte Pequeno,Ana Gomes,4.96,6,58.53,127,3.15,4,1.57,2
Açores,Calheta,Norte Pequeno,Vitorino Silva,2.48,3,58.53,127,3.15,4,1.57,2
Açores,Calheta,Norte Pequeno,Marisa Matias,1.65,2,58.53,127,3.15,4,1.57,2
Açores,Calheta,Norte Pequeno,Tiago Mayan Gonçalves,0.0,0,58.53,127,3.15,4,1.57,2
Açores,Calheta,Norte Pequeno,João Ferreira,0.0,0,58.53,127,3.15,4,1.57,2
Açores,Calheta,Ribeira Seca,Marcelo Rebelo de Sousa,80.1,310,38.21,392,1.28,5,0.0,0
Açores,Calheta,Ribeira Seca,Ana Gomes,5.94,23,38.21,392,1.28,5,0.0,0
Açores,Calheta,Ribeira Seca,Marisa Matias,4.91,19,38.21,392,1.28,5,0.0,0
Açores,Calheta,Ribeira Seca,André Ventura,4.91,19,38.21,392,1.28,5,0.0,0
Açores,Calheta,Ribeira Seca,João Ferreira,1.81,7,38.21,392,1.28,5,0.0,0
Açores,Calheta,Ribeira Seca,Vitorino Silva,1.29,5,38.21,392,1.28,5,0.0,0
Açores,Calheta,Ribeira Seca,Tiago Mayan Gonçalves,1.03,4,38.21,392,1.28,5,0.0,0
Açores,Calheta,Santo Antão,Marcelo Rebelo de Sousa,85.95,208,34.65,245,0.41,1,0.82,2
Açores,Calheta,Santo Antão,Ana Gomes,3.72,9,34.65,245,0.41,1,0.82,2
Açores,Calheta,Santo Antão,Marisa Matias,2.89,7,34.65,245,0.41,1,0.82,2
Açores,Calheta,Santo Antão,André Ventura,2.89,7,34.65,245,0.41,1,0.82,2
Açores,Calheta,Santo Antão,Vitorino Silva,2.89,7,34.65,245,0.41,1,0.82,2
Açores,Calheta,Santo Antão,Tiago Mayan Gonçalves,0.83,2,34.65,245,0.41,1,0.82,2
Açores,Calheta,Santo Antão,João Ferreira,0.83,2,34.65,245,0.41,1,0.82,2
Açores,Calheta,Topo (Nossa Senhora do Rosário),Marcelo Rebelo de Sousa,80.0,144,40.0,184,1.09,2,1.09,2
Açores,Calheta,Topo (Nossa Senhora do Rosário),André Ventura,7.78,14,40.0,184,1.09,2,1.09,2
Açores,Calheta,Topo (Nossa Senhora do Rosário),Ana Gomes,6.67,12,40.0,184,1.09,2,1.09,2
Açores,Calheta,Topo (Nossa Senhora do Rosário),Vitorino Silva,2.22,4,40.0,184,1.09,2,1.09,2
Açores,Calheta,Topo (Nossa Senhora do Rosário),João Ferreira,2.22,4,40.0,184,1.09,2,1.09,2
Açores,Calheta,Topo (Nossa Senhora do Rosário),Marisa Matias,0.56,1,40.0,184,1.09,2,1.09,2
Açores,Calheta,Topo (Nossa Senhora do Rosário),Tiago Mayan Gonçalves,0.56,1,40.0,184,1.09,2,1.09,2
Açores,Corvo,Corvo,Marcelo Rebelo de Sousa,66.2,94,43.32,146,0.68,1,2.05,3
Açores,Corvo,Corvo,Ana Gomes,9.15,13,43.32,146,0.68,1,2.05,3
Açores,Corvo,Corvo,João Ferreira,7.04,10,43.32,146,0.68,1,2.05,3
Açores,Corvo,Corvo,Marisa Matias,6.34,9,43.32,146,0.68,1,2.05,3
Açores,Corvo,Corvo,Vitorino Silva,5.63,8,43.32,146,0.68,1,2.05,3
Açores,Corvo,Corvo,André Ventura,4.93,7,43.32,146,0.68,1,2.05,3
Açores,Corvo,Corvo,Tiago Mayan Gonçalves,0.7,1,43.32,146,0.68,1,2.05,3
Açores,Horta,Capelo,Marcelo Rebelo de Sousa,72.34,136,42.36,194,2.06,4,1.03,2
Açores,Horta,Capelo,Ana Gomes,9.57,18,42.36,194,2.06,4,1.03,2
Açores,Horta,Capelo,André Ventura,8.51,16,42.36,194,2.06,4,1.03,2
Açores,Horta,Capelo,João Ferreira,5.85,11,42.36,194,2.06,4,1.03,2
